sampling_location,sample_date,sample_time,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_salinity_psu,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,long,lat,type
E15,2006-09-11T00:00:00.000,11:30 AM,21.19,21.2,15,23.81,23.81,7.33,0.372,0.332,0.116,1.56,1.79,0.23,4.5,6,33.04,40.76267,-73.84967,Permanent
E15,2006-09-18T00:00:00.000,12:04 PM,22.08,21.37,17,22.95,23.5,7.26,0.434,0.664,0.16,0.91,2.22,0.222,4.5,6.25,1.73,40.76317,-73.84917,Permanent
E15,2006-09-25T00:00:00.000,11:06 AM,20.26,20.24,16,23.55,23.56,5.61,0.534,0.62,0.173,1.65,1.99,0.228,2,2.75,2.19648,40.76317,-73.84917,Permanent
E15,2006-09-05T00:00:00.000,11:50 AM,21.15,21.07,17,23.21,23.76,6.25,0.348,0.565,0.16,2.18,2.38,0.241,1.5,1,21.25,40.763,-73.8495,Permanent
E2,2006-10-23T00:00:00.000,2:02 PM,16.57,16.6,50,20.34,20.63,5.8,0.595,0.516,,0.98,1.29,0.183,5.75,6.25,1.17,40.73567,-73.97083,Permanent
E2,2006-07-31T00:00:00.000,12:50 PM,23.43,23,55,20.97,22.65,5.16,0.289,0.298,0.096,0.87,1.41,0.129,5.25,9.75,3.16,40.73633,-73.97067,Permanent
E2,2006-08-21T00:00:00.000,2:05 PM,23.79,23.74,48,24.23,24.29,3.2,0.316,0.469,0.175,1.52,1.73,0.217,19.5,14.25,3.2,40.7355,-73.97083,Permanent
E2,2006-08-28T00:00:00.000,12:48 PM,22.81,22.67,49,23.63,23.76,4.27,0.331,0.389,0.129,0.77,1.17,0.166,2,2.75,1.1,40.73567,-73.97083,Permanent
E2,2006-08-08T00:00:00.000,1:44 PM,23.19,23.19,47,23.3,23.38,4.05,0.267,0.418,0.13,0.88,1.39,0.185,4,1.75,5.84,40.73567,-73.971,Permanent
E2,2006-09-11T00:00:00.000,1:11 PM,21.65,21.55,48,23.31,23.53,4.62,0.456,0.421,0.124,1.24,1.76,0.168,3,6.5,1.72,40.73533,-73.97083,Permanent
E2,2006-09-18T00:00:00.000,4:14 PM,21.67,21.62,47,22.14,22.3,4.35,0.628,0.553,0.159,0.78,1.96,0.198,6,9.5,1,40.73667,-73.97067,Permanent
E2,2006-09-25T00:00:00.000,12:32 PM,20.67,20.48,52,22.54,22.9,5.52,0.504,0.348,0.118,1.33,1.4,0.157,11.5,5.25,2.3,40.7355,-73.97067,Permanent
E2,2006-09-05T00:00:00.000,3:31 PM,21.5,21.42,41,22.91,23.29,5,0.472,0.594,0.19,1.92,2.3,0.22,2,7.25,2.04,40.7355,-73.97117,Permanent
E4,2006-10-23T00:00:00.000,1:40 PM,16.55,16.55,65,21.96,21.95,5.49,0.576,0.699,,1.61,1.28,0.218,7,4.5,0.96,40.78233,-73.92167,Permanent
E4,2006-07-31T00:00:00.000,12:20 PM,23.72,23.71,77,18.7,22.11,8.65,0.388,0.456,0.134,1.67,1.78,0.18,7.5,17.75,1.97,40.783,-73.9215,Permanent
E4,2006-08-21T00:00:00.000,1:46 PM,23.69,23.18,71,24.84,24.95,3.75,0.23,0.381,0.153,1.51,1.79,0.204,17.75,14,5.45,40.78267,-73.92167,Permanent
E4,2006-08-28T00:00:00.000,12:17 PM,22.87,22.88,64,23.39,23.38,3.83,0.396,0.436,0.147,0.84,1.38,0.197,4.75,4.75,1,40.78217,-73.92217,Permanent
E4,2006-08-08T00:00:00.000,1:19 PM,23.3,22.8,70,23.91,24.17,3.98,0.229,0.384,0.134,0.74,1.46,0.188,34.5,28.25,5.61,40.782,-73.92267,Permanent
E4,2006-09-11T00:00:00.000,12:45 PM,21.67,21.68,76,22.72,22.69,4.62,0.486,0.42,0.13,1.56,1.86,0.188,3.5,5.25,1.86,40.78233,-73.92217,Permanent
E4,2006-09-18T00:00:00.000,1:06 PM,21.7,21.27,82,23.66,23.84,4.63,0.473,0.56,0.148,0.84,2.08,0.188,4.25,3.75,1.34,40.78317,-73.92133,Permanent
E4,2006-09-25T00:00:00.000,12:07 PM,20.77,20.75,72,22.21,22.2,5.09,0.574,0.41,0.136,2.02,1.54,0.181,3,8,1.80992,40.782,-73.92233,Permanent
E4,2006-09-05T00:00:00.000,12:47 PM,21.23,21.09,77,23.85,24.2,4.76,0.39,0.518,0.168,1.18,2.42,0.216,7.75,3.5,2.47,40.78417,-73.92083,Permanent
E5,2006-10-10T00:00:00.000,12:30 PM,18.88,18.92,60,22.56,22.72,5.29,0.576,0.424,0.149,2.13,1.3,0.194,9,12.2,1.56,40.80017,-73.887,Permanent
E5A,2006-10-10T00:00:00.000,12:57 PM,19.29,19.09,41,22.54,23.68,5.19,0.597,0.639,0.18,1.78,1.3,0.22,12,9.5,1.65,40.78333,-73.88833,Permanent
E5A,2006-07-24T00:00:00.000,1:36 PM,22.32,21.77,39,22.78,23.26,2.96,0.288,0.48,0.13,1.1,1.58,0.19,28.5,55.25,1.45,40.7835,-73.88833,Permanent
E5A,2006-07-05T00:00:00.000,4:16 PM,20.14,19.9,39,19.18,20.26,4.12,,,,,1.62,,6,25.25,,40.78333,-73.88817,Permanent
E5B,2006-10-10T00:00:00.000,12:42 PM,19.1,18.95,33,23.09,23.64,5.36,0.566,0.45,0.15,1.46,1.23,0.19,6.5,3.3,1.95,40.792,-73.89433,Permanent
E5B,2006-07-05T00:00:00.000,4:04 PM,19.95,19.93,28,19.73,19.75,4.84,,,,,1.62,,18,29,,40.79283,-73.89417,Permanent
E6,2006-10-10T00:00:00.000,11:07 AM,19.04,18.87,17,24.17,24.28,5.51,0.516,0.47,0.156,1.22,1.15,0.194,8.7,5.7,2.17,40.78533,-73.86117,Permanent
E6,2006-10-23T00:00:00.000,11:48 AM,16.52,16.24,22,22.54,23.47,5.68,0.572,0.626,,1.98,1.24,0.209,6,10.25,1.22,40.78533,-73.8605,Permanent
E6,2006-07-31T00:00:00.000,10:55 AM,23.47,21.99,16,23.38,24.16,4.62,0.224,0.351,0.121,1.13,1.7,0.17,19.75,19.75,8.88,40.78617,-73.861,Permanent
E6,2006-08-21T00:00:00.000,12:20 PM,23.72,22.81,24,24.4,25.24,4.85,0.265,0.409,0.158,1.37,1.66,0.211,15.5,15.75,11.08,40.7855,-73.86083,Permanent
E6,2006-08-28T00:00:00.000,10:58 AM,22.54,22.54,19,24.11,24.13,3.15,0.334,0.535,0.177,0.79,1.96,0.225,1.75,1.5,0.72,40.78567,-73.86117,Permanent
E6,2006-08-08T00:00:00.000,11:52 AM,23.26,23.04,22,23.78,23.91,4.86,0.235,0.523,0.154,0.86,1.49,0.216,24.5,,8.59,40.7865,-73.86167,Permanent
E6,2006-09-11T00:00:00.000,11:16 AM,21.56,21.55,20,24.13,24.14,5.02,0.387,0.418,0.136,1.2,2.21,0.2,4.5,8.25,3.8,40.78583,-73.861,Permanent
E6,2006-09-18T00:00:00.000,11:50 AM,21.51,21.04,21,23.35,24.31,4.87,0.48,0.549,0.147,0.84,2.04,0.192,5.5,7.25,0.78,40.78567,-73.86117,Permanent
E6,2006-09-25T00:00:00.000,10:53 AM,20.75,20.72,22,24.01,24.08,4.75,0.498,0.494,0.156,1.5,1.8,0.206,12.25,10.25,1.024,40.7855,-73.861,Permanent
E6,2006-09-05T00:00:00.000,11:37 AM,21.21,21.13,23,23.75,24.06,4.76,0.378,0.548,0.176,1.58,2.42,0.213,2,7.25,2.8,40.78583,-73.86133,Permanent
E7,2006-10-10T00:00:00.000,10:30 AM,18.79,18.7,39,24.49,24.66,4.8,0.45,0.428,0.144,2.08,1.1,0.188,6.5,6,2.62,40.80283,-73.81917,Permanent
E7,2006-10-23T00:00:00.000,11:33 AM,16.29,16.07,46,23.58,24.84,5.89,0.478,0.598,,1.5,1.2,0.198,8,4.5,1.34,40.8025,-73.82,Permanent
E7,2006-07-31T00:00:00.000,10:37 AM,22.71,20.54,46,23.74,25.35,4.3,0.198,0.312,0.111,0.94,1.66,0.158,27.75,18,10.28,40.80317,-73.81917,Permanent
E7,2006-08-21T00:00:00.000,12:02 PM,22.88,22.17,58,25.56,25.99,4.57,0.116,0.208,0.121,1.46,1.78,0.164,10.75,9.5,11.46,40.80283,-73.82083,Permanent
E7,2006-08-28T00:00:00.000,10:37 AM,22.35,22.28,39,24.66,24.93,3.16,0.258,0.422,0.159,0.82,2.05,0.231,1.75,13.25,1.93,40.80283,-73.818,Permanent
E7,2006-08-08T00:00:00.000,11:37 AM,22.33,21.41,43,25.05,25.59,4.28,0.107,0.214,0.108,0.55,1.49,0.156,16.75,25.75,9.38,40.80283,-73.82,Permanent
E7,2006-09-11T00:00:00.000,10:56 AM,21.47,21.3,53,24.19,24.38,5.1,0.359,0.418,0.134,1.68,2.2,0.203,4.5,10.25,4.53,40.80317,-73.82017,Permanent
E7,2006-09-18T00:00:00.000,11:34 AM,20.98,20.76,46,24.94,25.23,5.44,0.266,0.338,0.118,0.54,1.96,0.142,2,13,0.67,40.80317,-73.81967,Permanent
E7,2006-09-25T00:00:00.000,10:37 AM,20.63,20.55,52,24.21,24.21,4.81,0.464,0.478,0.148,1.18,1.82,0.204,10.25,13.5,1.6524,40.803,-73.82,Permanent
E7,2006-09-05T00:00:00.000,11:21 AM,20.85,20.8,52,25.18,25.42,5.52,0.186,0.352,0.124,2.27,2.4,0.159,3.5,20.5,3.58,40.803,-73.82,Permanent
E8,2006-10-23T00:00:00.000,11:17 AM,16.12,16.22,87,24.73,25.97,6.23,0.347,0.44,,1.53,1.12,0.162,9,20.5,1.6,40.80117,-73.7825,Permanent
E8,2006-07-31T00:00:00.000,10:20 AM,21.21,19.01,96,25.06,26.34,3.12,0.106,0.177,0.088,0.87,1.56,0.128,24.25,15.18,9.52,40.80183,-73.78183,Permanent
E8,2006-08-21T00:00:00.000,11:49 AM,22.91,21.34,90,25.51,26.59,4.41,0.113,0.229,0.131,1.14,1.82,0.163,10.75,7.75,6.5,40.80133,-73.782,Permanent
E8,2006-08-28T00:00:00.000,10:21 AM,22.18,22.16,84,24.95,25.3,3.37,0.201,0.323,0.148,0.57,2.08,0.183,6.75,1.75,1.32,40.80267,-73.781,Permanent
E8,2006-08-08T00:00:00.000,11:20 AM,22.45,20.39,101,25.17,26.21,4.57,0.092,0.168,0.102,0.54,1.43,0.152,29.75,25.75,9.76,40.80217,-73.78217,Permanent
E8,2006-09-11T00:00:00.000,10:41 AM,21.22,21.2,88,24.9,24.9,5.59,0.258,0.298,0.111,1.26,2.16,0.17,8.75,6.25,6.28,40.8015,-73.78183,Permanent
E8,2006-09-18T00:00:00.000,11:20 AM,21.55,20.49,88,24.41,25.82,6.3,0.317,0.365,0.114,0.65,2.03,0.153,2.5,15.25,2.08,40.80117,-73.78217,Permanent
E8,2006-09-25T00:00:00.000,10:20 AM,20.45,20.41,89,24.97,25.18,4.92,0.346,0.33,0.12,1.86,1.72,0.17,13.5,14.75,1.292,40.80133,-73.782,Permanent
E8,2006-09-05T00:00:00.000,11:08 AM,20.9,20.67,92,24.85,26.11,5.23,0.226,0.399,0.136,1.93,2.44,0.166,3.75,25.5,2.56,40.8015,-73.782,Permanent
EMB1,2006-08-01T00:00:00.000,12:35 PM,26.32,16.31,36,26.47,27.26,5.14,0.022,0.279,0.118,1.46,0.83,0.205,1,5.5,43.76,40.616,-73.90767,Permanent
EMB1,2006-08-29T00:00:00.000,12:47 PM,23.5,22.58,35,27.01,27.93,2.96,0.071,0.624,0.163,1.43,1.29,0.248,1.75,0.75,30.64,40.61617,-73.90817,Permanent
EMB1,2006-09-26T00:00:00.000,12:53 PM,20.33,19.88,35,27.05,27.25,3.75,0.256,0.84,0.173,2.48,2,0.23,9.3,10,12.48,40.616,-73.90767,Permanent
EMB2,2006-08-01T00:00:00.000,12:45 PM,28.02,12.7,38,26.37,27.95,14.91,0.036,0.471,0.187,1.72,1.3,0.319,1.5,14.75,136.37,40.61017,-73.90167,Permanent
EMB2,2006-08-29T00:00:00.000,12:59 PM,22.89,15.18,38,26.95,27.84,4.05,0.153,0.786,0.178,1.66,1.29,0.249,0.75,0.75,9.72,40.61017,-73.90183,Permanent
EMB2,2006-09-26T00:00:00.000,1:00 PM,20.23,19.74,37,26.99,27.22,5.58,0.316,0.685,0.142,1.72,1.83,0.202,10.3,2,18.972,40.60983,-73.90183,Permanent
FB1,2006-10-10T00:00:00.000,11:17 AM,19.02,18.96,21,24.09,24.24,5.43,0.488,0.546,0.17,1.77,1.14,0.22,6.3,7,2.32,40.77233,-73.85317,Permanent
FB1,2006-10-23T00:00:00.000,11:59 AM,16.06,16.14,,23.48,23.69,6.09,0.474,0.711,,1.47,1.24,0.22,,,1.38,40.77217,-73.853,Permanent
FB1,2006-11-13T00:00:00.000,,,,,,,,0.394,0.558,0.15,0.96,1.89,0.19,5.25,13.25,1.53,,,Permanent
FLC1,2006-10-10T00:00:00.000,11:47 AM,18.76,18.75,20,23.36,23.82,4.33,0.489,0.696,0.18,3.02,1.74,0.29,7,3.5,6.13,40.762,-73.83667,Permanent
FLC1,2006-10-23T00:00:00.000,12:30 PM,15.34,15.26,20,22.59,22.93,4.27,0.408,0.884,,1.8,1.82,0.26,5,6.75,2.79,40.76217,-73.83683,Permanent
FLC1,2006-11-13T00:00:00.000,,,,,,,,0.408,0.716,0.15,1.23,2.62,0.25,5.25,23.75,3.52,,,Permanent
FLC1,2006-06-26T00:00:00.000,12:16 PM,18.93,18.86,21,22.29,22.45,2.54,0.193,0.585,0.147,1.65,1.16,0.287,27.5,76,4.61,40.76317,-73.83683,Permanent
FLC1,2006-07-24T00:00:00.000,12:35 PM,22.65,22.07,19,21.83,22.56,1.53,0.171,0.649,0.19,1.6,2,0.27,39.5,28.75,3.4,40.76217,-73.83667,Permanent
FLC1,2006-07-05T00:00:00.000,1:58 PM,21.65,,10,6.3,,4.42,0.231,0.726,0.122,1.9,1.55,0.293,20,,3,40.76167,-73.8365,Permanent
FLC2,2006-10-10T00:00:00.000,11:37 AM,18.97,18.79,16,23.62,23.83,5.03,0.479,0.614,0.17,1.57,1.53,0.25,7.7,10,3.47,40.765,-73.84267,Permanent
FLC2,2006-10-23T00:00:00.000,12:15 PM,15.19,15.26,,23.11,23.12,6.2,0.486,0.738,,1.07,1.43,0.22,3.5,7.5,2.22,40.765,-73.84283,Permanent
FLC2,2006-11-13T00:00:00.000,,,,,,,,0.391,0.622,0.15,0.96,2.08,0.21,11,19.5,1.81,,,Permanent
G2,2006-10-25T00:00:00.000,11:44 AM,14.67,16,31,15.94,23.5,7.66,0.526,0.302,,0.67,1.41,0.134,2.75,3,2.15,40.66633,-74.00367,Permanent
G2,2006-09-13T00:00:00.000,3:40 PM,20.93,20.99,31,24.49,25.66,5.23,0.422,0.404,0.111,1.43,1.62,0.228,1,2.75,4.66,40.6665,-74.0035,Permanent
G2,2006-09-20T00:00:00.000,11:02 AM,21.22,21.05,29,22.41,24.1,5.62,0.498,0.357,0.113,1.03,1.56,0.146,1.25,1,5.64,40.6665,-74.00333,Permanent
G2,2006-09-27T00:00:00.000,3:37 PM,20.47,19.93,28,23.4,25.67,6.92,0.436,0.303,0.1095,1.57,1.15,0.146,3.2,5,9.0174,40.66667,-74.00367,Permanent
G2,2006-09-07T00:00:00.000,11:28 AM,21.64,21.07,29,22.58,24.27,4.31,0.402,0.464,,1.13,1.73,0.168,9.25,3.75,2.13,40.6665,-74.0035,Permanent
GC5,2006-06-22T00:00:00.000,9:40 AM,,,12,,,,0.304,0.305,0.084,0.49,1.26,0.1,10.25,16,0.51,,,Permanent
GC5,2006-07-13T00:00:00.000,10:25 AM,,,14,,,,0.39,0.543,0.104,0.79,1.5,0.277,15,26,0.69,,,Permanent
GC5,2006-08-17T00:00:00.000,10:45 AM,,,10,,,,0.294,0.486,0.132,1.03,1.5,0.178,1.25,2,0.82,,,Permanent
GC5,2006-08-31T00:00:00.000,10:25 AM,,,11,,,,0.35,0.446,0.126,2.29,1.42,0.162,2.25,2.25,0.61,,,Permanent
GC5,2006-09-14T00:00:00.000,10:40 AM,,,12,,,,0.502,0.502,0.135,0.98,1.78,0.194,3.5,9.25,,,,Permanent
GC5,2006-09-28T00:00:00.000,11:00 AM,,,14,,,,0.508,0.394,0.131,1,1.45,0.172,9,4.5,,,,Permanent
GC6,2006-06-22T00:00:00.000,9:20 AM,,,12,,,,0.31,0.318,0.086,0.56,1.33,0.104,8.8,33.2,0.99,,,Permanent
GC6,2006-07-13T00:00:00.000,10:10 AM,,,12,,,,0.433,0.587,0.107,1.08,1.52,0.298,13.1,25,1.26,,,Permanent
